taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100690,100600,False,True,
ด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนและเงินลงทุน,,,ด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนและเงินลงทุน,109900,109999,False,False,
หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,200400,หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,200490,200400,False,True,
ตราสารหนี้ที่ออกและเงินกู้ยืม,202000,ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,202000,False,True,
เงินรับหลักประกันของตราสารอนุพันธ์,,,เงินรับหลักประกันของตราสารอนุพันธ์,209900,209999,False,False,"202100-เงินรับหลักประกันของตราสารอนุพันธ์-หนี้สินอนุพันธ์-The input keyword ""เงินรับหลักประกันของตราสารอนุพันธ์"" is in the meaning_of_taxonomy of the item ""หนี้สินอนุพันธ์"" and financial_statement_type is BS_L and fs_category == หนี้สิน as requested. | 518300-เงินรับหลักประกันของตราสารอนุพันธ์-หนี้สินดำเนินงานอื่น เพิ่มขึ้น (ลดลง)-The input mentions เงินรับหลักประกันของตราสารอนุพันธ์ and financial_statement_type is งบกระแสเงินสด, fs_category is กระแสเงินสดจากกิจกรรมดำเนินงาน. This closely matches the meaning_of_taxonomy provided for set_code '518300': 'หนี้สินดำเนินงานอื่น เพิ่มขึ้นหรือลดลง บางครั้งใช้ชื่อว่า ... เงินรับหลักประกันของตราสารอนุพันธ์ ...'. | "
ด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนและเงินลงทุน,,,ด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนและเงินลงทุน,209900,209999,False,False,
หุ้นสามัญ{{number}}หุ้นมูลค่าที่ตราไว้หุ้นละ{{number}}บาท,,,หุ้นสามัญหุ้นมูลค่าที่ตราไว้หุ้นละบาท,310120,310100,False,False,
หุ้นสามัญ{{number}}หุ้นมูลค่าที่ตราไว้หุ้นละ{{number}}บาท,,,หุ้นสามัญหุ้นมูลค่าที่ตราไว้หุ้นละบาท,310220,310200,False,False,
กำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง,,,กำไรสุทธิสำหรับรอบระยะเวลา,409991,409999,False,False,"409996-กำไรสุทธิสำหรับรอบระยะเวลา-กำไร (ขาดทุน) สุทธิ สำหรับงวด-The input name 'กำไรสุทธิสำหรับรอบระยะเวลา' closely matches the meaning of taxonomy 'กำไรหรือขาดทุน สุทธิ สำหรับงวด บางครั้งใช้ชื่อว่า กำไรสุทธิสำหรับงวด หรือ กำไรสุทธิ' and the fs_category is related to 'กำไร'. | 409996-กำไรสุทธิสำหรับรอบระยะเวลา-กำไร (ขาดทุน) สุทธิ สำหรับงวด-The input name 'กำไรสุทธิสำหรับรอบระยะเวลา' is similar to the item in taxonomy 'กำไร (ขาดทุน) สุทธิ สำหรับงวด' and the fs_category is related to null. Thus, the correct set code and item in taxonomy are 409996 and กำไร (ขาดทุน) สุทธิ สำหรับงวด respectively. | "
กำไรก่อนภาษีเงินได้,,,กำไรก่อนภาษีเงินได้,510200,519997,False,False,"409994-กำไรก่อนภาษีเงินได้-กำไร (ขาดทุน) จากการดำเนินงานก่อนภาษีเงินได้-The user's input, ""กำไรก่อนภาษีเงินได้"", directly matches one of the alternative names mentioned in the meaning of the taxonomy item 'กำไร (ขาดทุน) จากการดำเนินงานก่อนภาษีเงินได้'.  | 409994-กำไรก่อนภาษีเงินได้-กำไร (ขาดทุน) จากการดำเนินงานก่อนภาษีเงินได้-The query ""กำไรก่อนภาษีเงินได้"" is a close match to the item ""กำไร (ขาดทุน) จากการดำเนินงานก่อนภาษีเงินได้"" in the taxonomy list, and the fs_category is related to """". | "
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,,,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,510400,519997,False,False,"430700-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-The most relevant item from the provided taxonomy list is 'ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น' with SET Code '430700'. Although the fs_category does not directly relate to 'ค่าใช้จ่าย', the item's meaning aligns with the input query, and it's a more specific match than 'กำไร (ขาดทุน) จากการดำเนินงานก่อนภาษีเงินได้' which broadly covers income and expenses. | 430700-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น- (กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-The query 'ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น' is related to the meaning of taxonomy in the list. Thus, the appropriate SET Code is 430700 and the item in taxonomy is '(กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น'. | "
สำรองจากการประมาณการหนี้สิน,,,สำรองจากการประมาณการหนี้สิน,514920,519997,False,False,"518000-สำรองจากการประมาณการหนี้สิน-ประมาณการหนี้สิน เพิ่มขึ้น (ลดลง)-The input mentions 'สำรองจากการประมาณการหนี้สิน' and the input metadata specifies 'financial_statement_type' as 'งบกระแสเงินสด' and 'fs_category' as 'กระแสเงินสดจากกิจกรรมดำเนินงาน'. In the provided taxonomy list, the closest match is 'ประมาณการหนี้สิน เพิ่มขึ้น (ลดลง)' with SET Code '518000', which falls under the 'กิจกรรมดำเนินงาน' category in the 'CF' (Cash Flow) statement. | "
ขาดทุนจากการด้อยค่าทรัพย์สินรอการขายและสินทรัพย์อื่น,,,ขาดทุนจากการด้อยค่าทรัพย์สินรอการขายและสินทรัพย์อื่น,512000,519997,False,False,"512100-ขาดทุนจากการด้อยค่าทรัพย์สินรอการขายและสินทรัพย์อื่น-((โอนกลับ) ขาดทุนจากการด้อยค่าของสินทรัพย์อื่น-The input mentions impairment losses on assets held for sale and other assets. The most relevant item from the taxonomy list considering the input 'financial_statement_type' and 'fs_category' is '(โอนกลับ) ขาดทุนจากการด้อยค่าของสินทรัพย์อื่น', which translates to '(Reversal Of) Impairment Loss Of Other Assets'.  | "
ของตราสารหนี้ที่ออกและเงินกู้ยืมและตราสารอนุพันธ์,,,ของตราสารหนี้ที่ออกและเงินกู้ยืมและตราสารอนุพันธ์,511300,519997,False,False,
ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,,,ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,510800,519997,False,False,
กำไรจากหนี้สินทางการเงินที่กำหนดให้แสดงด้วยมูลค่ายุติธรรม,,,กำไรจากหนี้สินทางการเงินที่กำหนดให้แสดงด้วยมูลค่ายุติธรรม,515000,519997,False,False,517110-กำไรจากหนี้สินทางการเงินที่กำหนดให้แสดงด้วยมูลค่ายุติธรรม-หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน เพิ่มขึ้น (ลดลง)-The input mentions 'กำไรจากหนี้สินทางการเงินที่กำหนดให้แสดงด้วยมูลค่ายุติธรรม' and 'งบกระแสเงินสด' and 'กระแสเงินสดจากกิจกรรมดำเนินงาน'. The most relevant item from the taxonomy list is 'หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน เพิ่มขึ้น (ลดลง)' with SET Code '517110' because its meaning includes changes in fair value of financial liabilities. | 
