taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100690,100600,False,True,
ดอกเบี้ยค้างรับจากเงินลงทุน,,,ดอกเบี้ยค้างรับจากเงินลงทุน,109900,109999,False,False,"102060-ดอกเบี้ยค้างรับจากเงินลงทุน-ดอกเบี้ยค้างรับและรายได้ดอกเบี้ยที่ยังไม่ถึงกำหนดชำระ-From the Taxonomy list within CONTEXT and the INPUT METADATA, the most relevant item_in_taxonomy to the INPUT ""ดอกเบี้ยค้างรับจากเงินลงทุน"" is ""ดอกเบี้ยค้างรับและรายได้ดอกเบี้ยที่ยังไม่ถึงกำหนดชำระ"" with set_code ""102060"". | "
รวมสินทรัพย์,,,รวมสินทรัพย์,109999,,False,False,
ตราสารหนี้ที่ออกและเงินกู้ยืม,202000,ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,202000,False,True,
ดอกเบี้ยค้างจ่าย,,,ดอกเบี้ยค้างจ่าย,209900,209999,False,False,"<NA>-ดอกเบี้ยค้างจ่าย-nan-There is no item in the provided taxonomy list that matches the combination of the query ""ดอกเบี้ยค้างจ่าย"" (accrued interest payable) and the input metadata fs_category with value  ""หนี้สิน"" (liabilities). Therefore, I cannot provide a suitable SET Code and Item in Taxonomy. | "
รวมหนี้สิน,,,รวมหนี้สิน,209999,309999,False,False,
ส่วนเกินมูลค่าหุ้น,310400,ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,310400,False,True,
รวมหนี้สินและส่วนของเจ้าของ,,,รวมหนี้สินและส่วนของเจ้าของ,309999,,False,False,
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,409994,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,409994,False,True,
กำไรสุทธิ,,,กำไรสุทธิ,409991,409999,False,False,"409996-กำไรสุทธิ-กำไร (ขาดทุน) สุทธิ สำหรับงวด-Found multiple taxonomy items with fs_category related to กำไรสุทธิ, using item_in_taxonomy instead. Selected 'กำไร (ขาดทุน) สุทธิ สำหรับงวด' as it is a common term for Net Profit and matches the input closely. | 409996-กำไรสุทธิ-กำไร (ขาดทุน) สุทธิ สำหรับงวด-The input line item name is กำไรสุทธิ and financial_statement_type is งบกำไรขาดทุนและกำไรขาดทุนเบ็ดเสร็จอื่น สำหรับงวดหกเดือนสิ้นสุด. The closest item in taxonomy with fs_category related to กำไรสุทธิ is กำไร (ขาดทุน) สุทธิ สำหรับงวด with set code 409996 | 409996-กำไรสุทธิ-กำไร (ขาดทุน) สุทธิ สำหรับงวด-The input query 'กำไรสุทธิ' is a general term and best matches the item 'กำไร (ขาดทุน) สุทธิ สำหรับงวด' in the taxonomy. Although the fs_category does not directly relate to 'กำไรสุทธิ', it's a broader category that fits the context. We prioritize matching the item_in_taxonomy over fs_category when a more specific match is found. | 409996-กำไรสุทธิ-กำไร (ขาดทุน) สุทธิ สำหรับงวด-The input item name is กำไรสุทธิ and the input metadata financial_statement_type is งบกำไรขาดทุนและกำไรขาดทุนเบ็ดเสร็จอื่น สำหรับงวดหกเดือนสิ้นสุด, fs_category is กำไรสุทธิ.  The most relevant item in the Taxonomy list is กำไร (ขาดทุน) สุทธิ สำหรับงวด with set code 409996 because the fs_category is กำไรขาดทุน which is related to the input metadata fs_category. | "
